variable,mean,lower_bound,upper_bound
2.0,1332802.779,1332355.59,1333304.272
3.0,670297.15,669996.659,670668.0
4.0,548912.502,548644.977,549232.954
5.0,145854.978,145711.659,146039.0
6.0,94582.604,94463.659,94721.0
7.0,69759.232,69655.659,69886.636
8.0,57830.911,57730.0,57944.0
9.0,52230.203,52143.659,52330.0
10.0,49994.352,49907.0,50108.0
11.0,47789.176,47707.0,47891.0
12.0,45393.638,45304.659,45499.318
13.0,43100.606,43025.0,43194.318
14.0,41853.876,41772.659,41949.318
15.0,39933.232,39859.0,40027.0
16.0,41719.443,41645.659,41816.0
17.0,39805.891,39730.0,39905.318
18.0,37273.167,37196.659,37367.0
19.0,37494.798,37406.0,37582.0
20.0,37208.807,37137.0,37297.0
21.0,38247.143,38179.659,38344.0
22.0,37345.314,37266.0,37433.318
23.0,34803.851,34728.659,34900.318
24.0,35129.372,35052.659,35209.0
25.0,34169.672,34100.0,34251.318
26.0,32825.86,32752.0,32903.318
27.0,32878.262,32802.659,32960.0
28.0,30839.486,30769.0,30922.0
29.0,29970.549,29904.0,30055.0
30.0,28500.401,28429.0,28583.318
31.0,28980.108,28908.659,29052.318
32.0,27476.921,27412.659,27554.318
33.0,27578.035,27506.659,27657.318
34.0,27388.097,27316.0,27465.318
35.0,27039.269,26972.0,27118.318
36.0,25673.745,25611.659,25743.0
37.0,25208.774,25141.0,25289.318
38.0,26165.282,26099.0,26245.0
39.0,24666.173,24600.0,24745.318
40.0,24931.942,24868.0,25000.0
41.0,24093.226,24028.0,24159.318
42.0,23255.504,23195.0,23326.0
43.0,21429.299,21372.0,21504.0
44.0,21420.654,21357.0,21487.0
45.0,19494.759,19433.659,19557.0
46.0,19109.529,19053.0,19175.0
47.0,19688.818,19634.0,19753.318
48.0,18769.601,18718.0,18832.0
49.0,18702.677,18645.0,18770.0
50.0,18085.341,18032.0,18147.318
51.0,17582.299,17524.0,17645.0
52.0,17286.726,17232.0,17344.0
53.0,17317.175,17261.659,17376.0
54.0,18230.649,18178.0,18291.0
55.0,17871.732,17813.0,17936.0
56.0,16033.602,15981.659,16094.318
57.0,15344.06,15294.0,15403.0
58.0,15707.565,15658.0,15765.318
59.0,14791.156,14746.0,14850.318
60.0,14309.069,14264.0,14363.0
61.0,14312.58,14268.0,14372.0
62.0,13690.829,13643.0,13746.0
63.0,12880.399,12835.0,12936.0
64.0,12651.98,12604.659,12703.0
65.0,11758.361,11716.0,11810.318
66.0,10617.188,10574.659,10670.0
67.0,10410.0,10367.0,10455.0
68.0,10338.425,10298.659,10382.318
69.0,9364.873,9321.0,9415.318
70.0,9320.702,9282.0,9364.0
71.0,9112.961,9074.659,9157.0
72.0,9554.415,9513.659,9602.0
73.0,9043.682,9007.0,9087.0
74.0,9043.83,9008.0,9091.0
75.0,8993.656,8956.0,9038.0
76.0,9164.874,9126.0,9211.0
77.0,9820.833,9786.0,9863.0
78.0,10212.631,10171.0,10259.318
79.0,10611.16,10567.0,10661.318
80.0,10427.495,10390.0,10474.0
81.0,10142.407,10101.0,10192.0
82.0,9519.19,9480.0,9565.318
83.0,10077.906,10037.0,10120.318
84.0,9612.807,9569.659,9662.318
85.0,10929.22,10889.0,10981.0
86.0,11646.758,11608.659,11700.0
87.0,10918.588,10876.0,10962.0
88.0,10099.6,10054.0,10149.318
89.0,10298.28,10260.659,10347.318
90.0,10332.372,10287.0,10381.0
91.0,9605.73,9565.659,9654.318
92.0,9784.594,9745.0,9828.0
93.0,10406.304,10366.0,10454.0
94.0,9855.518,9818.0,9904.318
95.0,8889.627,8848.0,8933.0
96.0,8826.5,8789.0,8873.0
97.0,8259.706,8225.0,8306.318
98.0,7482.66,7448.0,7523.318
99.0,7076.651,7038.0,7117.0
100.0,7215.293,7176.0,7255.0
101.0,6993.794,6957.0,7035.0
102.0,7133.398,7101.659,7170.0
103.0,6549.851,6515.0,6587.0
104.0,5367.687,5338.0,5402.0
105.0,4726.116,4699.0,4761.0
106.0,4486.911,4458.0,4520.0
107.0,4838.007,4810.0,4869.0
108.0,5234.76,5204.0,5271.0
109.0,5609.943,5579.0,5645.0
110.0,4689.094,4661.659,4724.318
111.0,4051.903,4026.0,4082.318
112.0,3939.352,3915.0,3968.0
113.0,3555.346,3532.0,3582.0
114.0,3456.224,3428.659,3487.0
115.0,3869.011,3844.0,3896.0
116.0,3490.038,3466.0,3518.0
117.0,3823.552,3795.659,3852.318
118.0,3923.832,3899.0,3954.0
119.0,3601.983,3579.0,3634.0
120.0,3993.668,3968.0,4025.0
121.0,4488.636,4461.0,4519.0
122.0,4023.532,3997.0,4053.0
123.0,4093.119,4066.659,4123.0
124.0,3813.202,3790.0,3838.0
125.0,4387.478,4361.0,4418.0
126.0,4792.077,4763.659,4829.0
127.0,4990.029,4958.0,5024.0
128.0,5096.158,5066.0,5128.0
129.0,4458.405,4430.0,4491.0
130.0,4608.955,4578.0,4638.0
131.0,4801.096,4774.0,4832.0
132.0,5106.867,5079.0,5139.318
133.0,5210.247,5180.659,5243.318
134.0,4520.867,4495.0,4553.318
135.0,4318.976,4291.0,4354.0
136.0,4736.895,4710.0,4771.0
137.0,4510.326,4480.659,4539.318
138.0,4607.732,4582.0,4644.0
139.0,5620.094,5591.0,5658.318
140.0,6150.113,6121.0,6183.0
141.0,5513.126,5484.0,5548.0
142.0,3973.405,3948.0,4007.0
143.0,3189.302,3170.0,3213.0
144.0,3003.233,2981.0,3028.0
145.0,2737.283,2714.659,2763.0
146.0,2803.748,2781.0,2828.0
147.0,3365.624,3344.0,3393.0
148.0,3461.431,3437.0,3487.0
149.0,3387.362,3365.0,3416.0
150.0,3305.147,3281.0,3332.0
151.0,3477.995,3453.0,3505.0
152.0,3237.729,3214.0,3266.0
153.0,3447.739,3421.0,3475.0
154.0,3538.874,3516.0,3569.0
155.0,3632.643,3608.0,3660.318
156.0,3629.735,3605.0,3658.0
157.0,3608.39,3583.659,3635.0
158.0,3619.284,3594.0,3650.0
159.0,3081.256,3057.659,3107.0
160.0,3117.93,3094.0,3144.0
161.0,3630.101,3602.0,3660.0
162.0,3321.153,3299.0,3344.0
163.0,2878.36,2855.0,2903.0
164.0,3352.82,3329.0,3379.0
165.0,2891.505,2870.0,2918.0
166.0,2401.211,2379.659,2426.0
167.0,2620.802,2598.659,2647.0
168.0,2158.183,2139.0,2179.0
169.0,2275.0,2256.0,2297.0
170.0,2060.282,2041.0,2080.0
171.0,1748.648,1730.659,1769.0
172.0,1819.632,1804.0,1839.0
173.0,2110.055,2092.659,2132.0
174.0,1871.489,1854.0,1892.0
175.0,1745.299,1729.0,1766.0
176.0,1566.757,1551.0,1585.0
177.0,1454.658,1440.0,1473.0
178.0,1653.834,1636.0,1674.0
179.0,1470.306,1455.659,1490.0
180.0,1364.754,1350.0,1382.0
181.0,1189.066,1174.0,1205.0
182.0,1367.371,1352.0,1386.0
183.0,1378.978,1364.0,1397.0
184.0,1228.359,1215.0,1245.0
185.0,942.558,929.0,958.0
186.0,1069.809,1057.0,1086.0
187.0,936.461,924.0,951.0
188.0,852.987,841.0,865.0
