variable,mean,lower_bound,upper_bound
2.0,1223076.677,1222663.636,1223544.0
3.0,631721.397,631427.0,632050.318
4.0,513982.589,513686.977,514289.954
5.0,139112.04,138951.659,139300.272
6.0,88746.457,88637.659,88879.0
7.0,68180.069,68077.659,68298.0
8.0,59209.011,59115.0,59318.636
9.0,51560.991,51463.0,51660.318
10.0,49216.809,49131.659,49320.0
11.0,46178.449,46078.659,46283.0
12.0,43288.204,43200.0,43385.0
13.0,39849.071,39753.659,39948.0
14.0,37648.628,37558.659,37742.0
15.0,35920.873,35838.659,36007.318
16.0,36208.728,36135.0,36295.0
17.0,34727.242,34648.0,34816.318
18.0,33659.292,33588.659,33738.0
19.0,31436.76,31362.659,31527.318
20.0,30970.105,30892.659,31054.318
21.0,31541.332,31467.659,31629.0
22.0,32576.207,32500.0,32653.636
23.0,33945.5,33867.659,34031.0
24.0,33317.31,33243.0,33403.636
25.0,32758.365,32683.659,32837.318
26.0,31662.808,31599.659,31746.0
27.0,28772.718,28703.659,28850.318
28.0,28788.562,28722.0,28876.0
29.0,27939.634,27872.659,28024.0
30.0,28377.833,28316.0,28456.0
31.0,27140.916,27072.318,27214.0
32.0,26056.045,25988.659,26132.318
33.0,24116.322,24056.659,24189.0
34.0,22650.784,22587.318,22725.0
35.0,22436.262,22373.659,22503.0
36.0,22666.972,22613.659,22739.318
37.0,21702.855,21640.0,21772.0
38.0,21724.388,21668.0,21802.0
39.0,22312.249,22252.0,22378.318
40.0,21816.722,21757.0,21884.0
41.0,23287.076,23230.0,23358.0
42.0,24919.937,24858.0,24985.0
43.0,23233.614,23172.659,23300.0
44.0,22682.365,22612.659,22756.318
45.0,22191.73,22126.0,22259.0
46.0,19078.548,19020.0,19145.0
47.0,19134.049,19081.0,19204.0
48.0,19193.201,19132.318,19263.0
49.0,17658.992,17598.659,17725.318
50.0,18577.142,18529.0,18634.318
51.0,17985.965,17930.0,18051.318
52.0,16159.05,16111.0,16214.0
53.0,15378.848,15329.0,15435.0
54.0,13789.252,13743.0,13843.318
55.0,14019.542,13973.0,14076.0
56.0,13706.489,13659.659,13761.0
