variable,mean,lower_bound,upper_bound
169.0,4496.814,4393.95,4603.0
170.0,4291.961,4182.0,4402.05
171.0,4566.46,4458.95,4682.0
172.0,4412.221,4305.95,4522.05
173.0,4052.313,3948.95,4160.0
174.0,4374.307,4267.0,4492.0
175.0,4438.716,4322.95,4554.0
176.0,4757.12,4638.95,4871.0
177.0,5413.409,5296.0,5535.05
178.0,5519.435,5392.0,5646.0
179.0,5934.71,5810.95,6059.0
180.0,6048.295,5917.0,6178.05
181.0,6046.565,5915.0,6177.0
182.0,4508.44,4401.95,4618.0
183.0,4888.448,4763.95,5006.0
184.0,4627.737,4515.95,4743.1
185.0,4540.302,4416.0,4658.05
186.0,4149.159,4043.0,4255.05
187.0,3946.704,3838.95,4052.0
188.0,3924.827,3819.95,4037.0
189.0,3871.927,3767.95,3973.05
190.0,3922.189,3820.95,4025.0
191.0,3552.761,3456.0,3651.05
192.0,3408.844,3314.0,3502.0
193.0,3306.828,3216.0,3402.0
194.0,3398.582,3304.95,3483.0
195.0,3903.077,3808.0,3999.0
196.0,4705.444,4594.95,4817.05
197.0,4727.111,4619.0,4840.1
198.0,4610.528,4494.95,4721.15
199.0,4011.785,3910.0,4114.0
200.0,3560.682,3464.95,3664.0
201.0,3641.935,3534.95,3744.0
202.0,3726.736,3626.95,3828.05
203.0,3587.937,3484.0,3690.05
204.0,4024.496,3921.95,4128.0
205.0,4015.254,3910.95,4119.05
206.0,4191.677,4085.95,4298.05
207.0,4245.52,4143.95,4343.0
208.0,3894.102,3793.0,3999.1
209.0,3900.636,3798.95,4000.0
210.0,3650.978,3553.95,3750.05
211.0,3786.398,3684.0,3886.0
212.0,3856.085,3750.95,3955.0
213.0,4309.836,4194.0,4420.0
214.0,3904.69,3802.0,4010.1
215.0,3648.611,3553.95,3747.0
216.0,3630.154,3527.9,3730.0
217.0,3170.083,3077.0,3262.0
218.0,3372.943,3278.0,3468.05
219.0,3220.773,3121.95,3319.0
220.0,3003.279,2917.0,3094.05
221.0,2883.05,2798.95,2976.1
222.0,2907.392,2817.95,2995.05
223.0,2976.261,2889.0,3062.05
224.0,3365.875,3273.0,3456.0
225.0,3289.978,3189.0,3384.0
226.0,3344.036,3242.0,3437.05
227.0,3471.903,3373.0,3573.0
228.0,3569.711,3472.95,3662.0
229.0,3268.282,3174.95,3355.05
230.0,3200.611,3106.0,3294.0
231.0,3256.933,3158.95,3356.0
232.0,3351.57,3255.0,3438.05
233.0,3324.213,3232.0,3420.05
234.0,3542.103,3441.0,3640.0
235.0,3782.565,3675.95,3891.0
