variable,mean,lower_bound,upper_bound
2.0,2166434.871,2164382.85,2168425.4
3.0,1041409.406,1039887.3,1042941.05
4.0,844026.493,842642.25,845504.7
5.0,229135.84,228377.85,229922.45
6.0,150818.1,150188.0,151435.05
7.0,114552.159,114017.0,115072.0
8.0,98366.908,97839.3,98899.1
9.0,88632.706,88106.85,89112.15
10.0,84973.458,84511.8,85449.1
11.0,82893.657,82431.85,83351.3
12.0,79485.164,79048.8,79940.05
13.0,75927.262,75450.85,76385.0
14.0,74094.623,73654.5,74538.2
15.0,69512.292,69078.9,69933.05
16.0,72631.293,72166.0,73063.1
17.0,69503.892,69066.95,69903.2
18.0,66759.574,66356.75,67162.1
19.0,66218.402,65789.0,66626.05
20.0,65430.726,65015.85,65839.05
21.0,66445.478,66018.0,66869.05
22.0,64483.995,64049.85,64884.45
23.0,61466.576,61046.75,61898.1
24.0,61481.365,61052.0,61866.0
25.0,59566.681,59137.95,59968.05
26.0,55944.183,55565.95,56314.0
27.0,55636.91,55241.95,56056.15
28.0,53419.466,53060.95,53798.1
29.0,50838.673,50446.95,51197.05
30.0,48093.987,47744.0,48423.05
31.0,48901.929,48521.9,49265.1
32.0,45017.384,44653.8,45391.05
33.0,43232.628,42910.5,43605.1
34.0,42421.617,42084.95,42754.0
35.0,41241.721,40912.0,41585.0
36.0,39762.126,39442.0,40116.25
37.0,38748.509,38437.9,39071.05
38.0,40404.806,40083.0,40741.0
39.0,39432.006,39113.95,39756.05
40.0,39856.52,39534.9,40185.05
41.0,38458.87,38136.95,38765.15
42.0,37132.915,36812.85,37455.05
43.0,34684.742,34384.0,34977.1
44.0,35661.371,35345.9,35979.35
45.0,33104.311,32800.9,33409.05
46.0,31791.099,31498.95,32073.05
47.0,33011.388,32718.85,33304.1
48.0,32089.83,31785.0,32373.0
49.0,32115.345,31807.75,32408.1
50.0,31423.446,31140.9,31705.0
51.0,31044.983,30777.95,31332.1
52.0,30076.16,29794.95,30356.1
53.0,29763.285,29482.85,30043.05
54.0,30112.425,29828.95,30404.05
55.0,29265.263,28973.85,29546.0
56.0,26910.57,26627.95,27176.05
57.0,25009.43,24744.95,25279.05
58.0,25500.064,25251.95,25761.05
59.0,23926.66,23672.0,24178.1
60.0,24075.723,23833.85,24322.05
61.0,23773.655,23503.95,24021.05
62.0,22056.639,21816.0,22297.1
63.0,21197.55,20953.0,21434.0
64.0,21037.344,20786.9,21269.15
65.0,19994.484,19749.85,20239.05
66.0,17869.491,17662.9,18081.05
67.0,17155.634,16929.95,17372.0
68.0,17356.497,17148.95,17579.1
69.0,15893.055,15685.95,16099.1
70.0,15278.173,15080.9,15478.0
71.0,14666.681,14465.9,14864.0
72.0,15165.228,14949.8,15372.05
73.0,14690.267,14495.9,14884.2
74.0,15236.315,15017.0,15452.0
75.0,14163.553,13983.95,14353.0
76.0,14600.707,14403.0,14797.1
77.0,14984.174,14798.9,15182.05
78.0,15342.642,15151.0,15556.0
79.0,16147.868,15922.95,16360.0
80.0,15911.891,15694.0,16134.05
81.0,15762.766,15550.0,15978.1
82.0,14238.047,14054.95,14424.05
83.0,14526.635,14334.0,14727.1
