variable,mean,lower_bound,upper_bound
2.0,1201923.867,1200330.8,1203464.4
3.0,570527.674,569434.9,571634.95
4.0,465621.821,464531.9,466648.25
5.0,126915.654,126259.95,127510.25
6.0,85765.608,85298.9,86226.05
7.0,66254.549,65839.0,66695.05
8.0,59756.449,59374.85,60137.2
9.0,54235.365,53850.0,54620.1
10.0,53525.274,53136.95,53896.05
11.0,53429.889,53051.9,53805.15
12.0,50855.479,50484.0,51219.05
13.0,48739.862,48384.95,49109.05
14.0,45918.609,45579.85,46272.2
15.0,45522.861,45197.0,45865.0
16.0,43460.745,43130.0,43792.15
17.0,40286.881,39958.85,40611.1
18.0,40027.329,39701.85,40343.05
19.0,36923.015,36621.95,37232.1
20.0,35406.272,35108.65,35723.05
21.0,34391.799,34075.95,34680.0
22.0,32733.073,32441.9,33016.0
23.0,31734.587,31452.75,32016.0
24.0,28993.414,28709.95,29276.1
25.0,25278.814,25022.0,25551.1
26.0,24658.928,24397.95,24928.0
27.0,23829.907,23564.85,24097.05
28.0,22283.563,22048.9,22525.1
29.0,20812.145,20580.75,21042.05
30.0,21333.463,21094.9,21580.05
31.0,20911.329,20656.95,21172.15
32.0,19980.581,19741.95,20214.15
33.0,20188.62,19967.0,20419.0
34.0,20153.114,19914.0,20382.05
35.0,19666.674,19432.9,19896.15
36.0,20529.504,20274.95,20761.05
37.0,20374.443,20141.0,20609.0
38.0,19859.566,19620.95,20094.0
39.0,17466.119,17252.95,17682.05
40.0,16700.575,16486.95,16894.05
41.0,17342.942,17124.0,17574.1
42.0,17729.081,17510.0,17948.15
43.0,18446.728,18224.9,18667.2
44.0,19963.88,19740.0,20194.05
45.0,19293.653,19060.95,19521.1
46.0,16833.132,16613.95,17032.05
47.0,16175.414,15964.9,16377.1
48.0,16639.86,16429.0,16863.0
49.0,16523.595,16313.9,16731.1
50.0,16059.446,15841.9,16262.1
51.0,16512.628,16301.95,16713.05
52.0,16048.038,15849.0,16246.0
53.0,15283.158,15076.85,15493.05
54.0,14948.18,14763.9,15127.1
55.0,15135.925,14932.9,15323.0
56.0,15352.387,15149.0,15542.15
57.0,14270.417,14077.95,14463.0
58.0,13951.227,13750.0,14141.05
59.0,14508.179,14308.9,14710.05
60.0,13802.92,13605.0,14000.0
61.0,13381.141,13193.95,13570.05
62.0,13148.324,12953.0,13334.05
63.0,10173.343,10006.85,10344.1
64.0,9603.674,9444.0,9759.05
65.0,9110.529,8960.95,9265.1
66.0,9236.126,9087.95,9390.2
67.0,8598.491,8447.9,8741.05
68.0,8793.534,8642.0,8952.05
69.0,8676.328,8518.0,8830.05
70.0,8423.006,8269.0,8580.0
71.0,8632.622,8489.9,8783.05
72.0,8149.265,8003.0,8296.05
73.0,8683.355,8536.95,8837.0
74.0,8038.544,7890.0,8184.05
75.0,6981.906,6850.95,7114.05
76.0,6724.999,6592.0,6867.1
77.0,6878.801,6751.85,7018.05
78.0,6724.292,6585.95,6859.0
79.0,6317.28,6186.95,6447.0
80.0,6452.396,6321.95,6581.05
81.0,6439.569,6307.0,6567.05
82.0,5381.255,5257.95,5504.0
83.0,5005.969,4887.95,5129.05
84.0,5225.366,5108.95,5338.0
85.0,5240.483,5118.0,5355.1
86.0,4600.503,4492.9,4712.05
87.0,4412.371,4313.0,4510.0
88.0,4433.711,4326.0,4550.05
89.0,4083.202,3978.95,4182.05
90.0,4149.893,4045.85,4259.0
91.0,5517.783,5397.95,5640.05
92.0,6512.215,6382.95,6641.0
93.0,6445.645,6317.95,6576.0
94.0,6318.472,6181.9,6444.05
95.0,4549.789,4444.0,4667.0
96.0,3576.575,3479.95,3672.0
97.0,2986.418,2897.0,3078.0
98.0,2835.181,2750.95,2924.05
99.0,2502.887,2423.0,2581.0
100.0,2120.561,2047.95,2192.0
101.0,1801.352,1732.95,1872.1
102.0,1361.838,1303.0,1421.0
103.0,1034.154,981.0,1086.0
104.0,804.477,758.0,851.05
105.0,571.798,533.0,613.0
106.0,519.359,481.95,557.05
107.0,316.207,288.95,344.0
108.0,232.447,209.0,257.0
109.0,165.734,145.0,187.0
110.0,142.614,123.0,162.0
111.0,59.113,47.0,72.0
112.0,25.142,17.0,34.0
113.0,16.75,10.0,24.0
