,variable,mean,lower_bound,upper_bound
154,154,0.3,0.0,1.0
155,155,0.3,0.0,1.0
156,156,0.4,0.0,1.0
157,157,0.4,0.0,1.0
158,158,0.2,0.0,1.0
159,159,0.2,0.0,1.0
160,160,0.1,0.0,0.5499999999999989
161,161,0.2,0.0,1.0
162,162,0.2,0.0,1.0
163,163,0.4,0.0,1.549999999999999
164,164,0.4,0.0,1.549999999999999
165,165,0.2,0.0,1.0
166,166,0.3,0.0,1.0
167,167,0.3,0.0,1.0
168,168,0.3,0.0,1.0
169,169,0.4,0.0,1.0
170,170,0.3,0.0,1.0
171,171,0.2,0.0,1.0
172,172,0.2,0.0,1.0
173,173,0.3,0.0,1.0
174,174,0.5,0.0,1.549999999999999
175,175,0.3,0.0,1.0
176,176,0.1,0.0,0.5499999999999989
177,177,0.3,0.0,1.0
178,178,0.4,0.0,1.549999999999999
179,179,0.4,0.0,1.549999999999999
180,180,0.2,0.0,1.0
181,181,0.2,0.0,1.0
182,182,0.3,0.0,1.549999999999999
183,183,0.2,0.0,1.0
184,184,0.3,0.0,1.549999999999999
185,185,0.3,0.0,1.549999999999999
186,186,0.3,0.0,1.0
187,187,0.5,0.0,1.0
188,188,0.6,0.0,1.0
189,189,0.6,0.0,1.0
190,190,0.3,0.0,1.0
191,191,0.4,0.0,1.0
192,192,0.2,0.0,1.0
193,193,0.4,0.0,1.0
194,194,0.3,0.0,1.0
195,195,0.4,0.0,1.0
196,196,0.3,0.0,1.0
197,197,0.3,0.0,1.549999999999999
198,198,0.1,0.0,0.5499999999999989
199,199,0.4,0.0,1.549999999999999
200,200,0.4,0.0,1.0
201,201,0.5,0.0,1.0
202,202,0.3,0.0,1.0
203,203,0.3,0.0,1.549999999999999
204,204,0.5,0.0,1.549999999999999
205,205,0.4,0.0,1.549999999999999
206,206,0.4,0.0,1.549999999999999
207,207,0.6,0.0,1.549999999999999
208,208,0.6,0.0,1.0
209,209,0.4,0.0,1.549999999999999
210,210,0.4,0.0,1.549999999999999
211,211,0.2,0.0,1.0999999999999979
212,212,0.3,0.0,1.0
213,213,0.4,0.0,1.0
214,214,0.3,0.0,1.0
215,215,0.3,0.0,1.0
216,216,0.3,0.0,1.0
217,217,0.3,0.0,1.0
218,218,0.2,0.0,1.0999999999999979
219,219,0.3,0.0,1.0
220,220,0.6,0.0,2.0
221,221,0.8,0.0,2.549999999999999
222,222,0.4,0.0,1.0
223,223,0.3,0.0,1.549999999999999
224,224,0.3,0.0,1.0
225,225,0.4,0.0,1.549999999999999
226,226,0.3,0.0,1.549999999999999
227,227,0.3,0.0,1.549999999999999
228,228,0.3,0.0,1.549999999999999
229,229,0.4,0.0,1.549999999999999
230,230,0.3,0.0,1.0
231,231,0.3,0.0,1.0
232,232,0.4,0.0,1.549999999999999
233,233,0.4,0.0,1.0
234,234,0.3,0.0,1.0
235,235,0.3,0.0,1.0
236,236,0.4,0.0,1.549999999999999
237,237,0.4,0.0,1.0
238,238,0.3,0.0,1.0
239,239,0.3,0.0,1.0
240,240,0.3,0.0,1.0
241,241,0.4,0.0,1.0
242,242,0.1,0.0,0.5499999999999989
243,243,0.2,0.0,1.0
244,244,0.2,0.0,1.0
245,245,0.2,0.0,1.0
246,246,0.3,0.0,1.0
247,247,0.2,0.0,1.0
248,248,0.3,0.0,1.549999999999999
249,249,0.3,0.0,1.549999999999999
250,250,0.3,0.0,1.0
251,251,0.5,0.0,1.549999999999999
252,252,0.3,0.0,1.0
253,253,0.3,0.0,1.0
254,254,0.1,0.0,0.5499999999999989
255,255,0.3,0.0,1.0
256,256,0.5,0.0,1.0
257,257,0.0,0.0,0.0
258,258,0.2,0.0,1.0
259,259,0.4,0.0,1.0
260,260,0.3,0.0,1.0
261,261,0.2,0.0,1.0
262,262,0.2,0.0,1.0
263,263,0.3,0.0,1.0
264,264,0.1,0.0,0.5499999999999989
265,265,0.5,0.0,1.0
266,266,0.4,0.0,1.0
267,267,0.2,0.0,1.0
268,268,0.1,0.0,0.5499999999999989
269,269,0.2,0.0,1.0
270,270,0.2,0.0,1.0
271,271,0.3,0.0,1.0
272,272,0.1,0.0,0.5499999999999989
273,273,0.0,0.0,0.0
274,274,0.0,0.0,0.0
275,275,0.1,0.0,0.5499999999999989
276,276,0.1,0.0,0.5499999999999989
277,277,0.0,0.0,0.0
278,278,0.2,0.0,1.0
279,279,0.2,0.0,1.0
280,280,0.1,0.0,0.5499999999999989
281,281,0.0,0.0,0.0
282,282,0.1,0.0,0.5499999999999989
283,283,0.2,0.0,1.0
284,284,0.2,0.0,1.0
285,285,0.2,0.0,1.0
286,286,0.1,0.0,0.5499999999999989
287,287,0.1,0.0,0.5499999999999989
288,288,0.1,0.0,0.5499999999999989
289,289,0.0,0.0,0.0
290,290,0.0,0.0,0.0
291,291,0.1,0.0,0.5499999999999989
292,292,0.1,0.0,0.5499999999999989
293,293,0.0,0.0,0.0
294,294,0.1,0.0,0.5499999999999989
295,295,0.1,0.0,0.5499999999999989
296,296,0.0,0.0,0.0
297,297,0.0,0.0,0.0
298,298,0.0,0.0,0.0
299,299,0.3,0.0,1.0
300,300,0.2,0.0,1.0
301,301,0.3,0.0,1.0
302,302,0.3,0.0,1.0
303,303,0.2,0.0,1.0
304,304,0.2,0.0,1.0
305,305,0.2,0.0,1.0
306,306,0.2,0.0,1.0
307,307,0.2,0.0,1.0
308,308,0.3,0.0,1.0
309,309,0.2,0.0,1.0
310,310,0.1,0.0,0.5499999999999989
311,311,0.4,0.0,1.0
312,312,0.4,0.0,1.0
313,313,0.2,0.0,1.0
314,314,0.1,0.0,0.5499999999999989
315,315,0.1,0.0,0.5499999999999989
316,316,0.1,0.0,0.5499999999999989
317,317,0.2,0.0,1.0
318,318,0.2,0.0,1.0
319,319,0.2,0.0,1.0
320,320,0.1,0.0,0.5499999999999989
321,321,0.3,0.0,1.549999999999999
322,322,0.1,0.0,0.5499999999999989
323,323,0.0,0.0,0.0
324,324,0.0,0.0,0.0
325,325,0.1,0.0,0.5499999999999989
326,326,0.2,0.0,1.0
327,327,0.4,0.0,1.0
328,328,0.5,0.0,1.0
329,329,0.3,0.0,1.0
330,330,0.3,0.0,1.0
331,331,0.4,0.0,1.0
332,332,0.2,0.0,1.0
333,333,0.3,0.0,1.0
334,334,0.4,0.0,1.0
335,335,0.4,0.0,1.0
336,336,0.5,0.0,1.0
337,337,0.3,0.0,1.0
338,338,0.4,0.0,1.0
339,339,0.3,0.0,1.0
340,340,0.2,0.0,1.0
341,341,0.1,0.0,0.5499999999999989
342,342,0.3,0.0,1.0
343,343,0.6,0.0,1.549999999999999
344,344,0.6,0.0,1.549999999999999
345,345,0.3,0.0,1.0
346,346,0.4,0.0,1.0
347,347,0.4,0.0,1.0
348,348,0.3,0.0,1.0
349,349,0.2,0.0,1.0
350,350,0.3,0.0,1.0
351,351,0.2,0.0,1.0
352,352,0.3,0.0,1.0
353,353,0.3,0.0,1.0
354,354,0.1,0.0,0.5499999999999989
355,355,0.3,0.0,1.0
356,356,0.4,0.0,1.0
357,357,0.1,0.0,0.5499999999999989
358,358,0.1,0.0,0.5499999999999989
359,359,0.3,0.0,1.0
360,360,0.3,0.0,1.0
361,361,0.2,0.0,1.0
362,362,0.5,0.0,1.549999999999999
363,363,0.3,0.0,1.0
364,364,0.3,0.0,1.0
365,365,0.4,0.0,1.0
366,366,0.4,0.0,1.0
367,367,0.2,0.0,1.0
368,368,0.4,0.0,1.0
369,369,0.3,0.0,1.0
370,370,0.2,0.0,1.0
371,371,0.2,0.0,1.0
372,372,0.3,0.0,1.0
373,373,0.2,0.0,1.0
374,374,0.2,0.0,1.0
375,375,0.2,0.0,1.0
376,376,0.1,0.0,0.5499999999999989
377,377,0.3,0.0,1.0
378,378,0.0,0.0,0.0
379,379,0.1,0.0,0.5499999999999989
380,380,0.3,0.0,1.0
381,381,0.3,0.0,1.0
382,382,0.1,0.0,0.5499999999999989
383,383,0.2,0.0,1.0
384,384,0.2,0.0,1.0
385,385,0.2,0.0,1.0999999999999979
386,386,0.2,0.0,1.0
387,387,0.1,0.0,0.5499999999999989
388,388,0.2,0.0,1.0
389,389,0.5,0.0,1.549999999999999
390,390,0.3,0.0,1.0
391,391,0.2,0.0,1.0
392,392,0.1,0.0,0.5499999999999989
393,393,0.3,0.0,1.0
394,394,0.0,0.0,0.0
395,395,0.0,0.0,0.0
396,396,0.1,0.0,0.5499999999999989
397,397,0.1,0.0,0.5499999999999989
398,398,0.0,0.0,0.0
399,399,0.0,0.0,0.0
400,400,0.2,0.0,1.0
401,401,0.2,0.0,1.0
402,402,0.1,0.0,0.5499999999999989
403,403,0.2,0.0,1.0
404,404,0.1,0.0,0.5499999999999989
405,405,0.3,0.0,1.0
406,406,0.4,0.0,1.0
407,407,0.5,0.0,1.0
408,408,0.3,0.0,1.0
409,409,0.3,0.0,1.0
410,410,0.2,0.0,1.0
411,411,0.0,0.0,0.0
412,412,0.1,0.0,0.5499999999999989
413,413,0.0,0.0,0.0
414,414,0.0,0.0,0.0
415,415,0.2,0.0,1.0
416,416,0.4,0.0,1.549999999999999
417,417,0.3,0.0,1.0
418,418,0.2,0.0,1.0
419,419,0.1,0.0,0.5499999999999989
420,420,0.3,0.0,1.0
421,421,0.4,0.0,1.549999999999999
422,422,0.3,0.0,1.0
423,423,0.4,0.0,1.0
424,424,0.3,0.0,1.0
425,425,0.2,0.0,1.0
426,426,0.2,0.0,1.0
