variable,mean,lower_bound,upper_bound
2,9591319.0,9591319.0,9591319.0
3,5306754.0,5306754.0,5306754.0
4,4472180.0,4472180.0,4472180.0
5,939517.0,939517.0,939517.0
6,574672.0,574672.0,574672.0
7,410230.0,410230.0,410230.0
8,330705.0,330705.0,330705.0
9,281232.0,281232.0,281232.0
10,284784.0,284784.0,284784.0
11,273909.0,273909.0,273909.0
12,246763.0,246763.0,246763.0
13,226023.0,226023.0,226023.0
14,216265.0,216265.0,216265.0
15,208257.0,208257.0,208257.0
16,210777.0,210777.0,210777.0
17,209118.0,209118.0,209118.0
18,212243.0,212243.0,212243.0
19,218924.0,218924.0,218924.0
20,238504.0,238504.0,238504.0
21,248286.0,248286.0,248286.0
22,270166.0,270166.0,270166.0
23,282310.0,282310.0,282310.0
24,286340.0,286340.0,286340.0
25,289211.0,289211.0,289211.0
26,286584.0,286584.0,286584.0
27,283807.0,283807.0,283807.0
28,279405.0,279405.0,279405.0
29,269257.0,269257.0,269257.0
30,258222.0,258222.0,258222.0
31,242193.0,242193.0,242193.0
32,213748.0,213748.0,213748.0
33,196427.0,196427.0,196427.0
34,187208.0,187208.0,187208.0
35,185523.0,185523.0,185523.0
36,182905.0,182905.0,182905.0
37,177122.0,177122.0,177122.0
38,170103.0,170103.0,170103.0
39,157039.0,157039.0,157039.0
40,146544.0,146544.0,146544.0
41,140136.0,140136.0,140136.0
42,132852.0,132852.0,132852.0
43,119798.0,119798.0,119798.0
44,115863.0,115863.0,115863.0
45,111951.0,111951.0,111951.0
46,105455.0,105455.0,105455.0
47,101593.0,101593.0,101593.0
48,101120.0,101120.0,101120.0
49,99041.0,99041.0,99041.0
50,96669.0,96669.0,96669.0
51,97426.0,97426.0,97426.0
52,94513.0,94513.0,94513.0
53,88943.0,88943.0,88943.0
54,87064.0,87064.0,87064.0
55,93881.0,93881.0,93881.0
56,95408.0,95408.0,95408.0
57,90089.0,90089.0,90089.0
58,84225.0,84225.0,84225.0
59,81867.0,81867.0,81867.0
60,78367.0,78367.0,78367.0
61,74228.0,74228.0,74228.0
62,75250.0,75250.0,75250.0
63,79358.0,79358.0,79358.0
64,79217.0,79217.0,79217.0
65,74285.0,74285.0,74285.0
66,71304.0,71304.0,71304.0
67,68124.0,68124.0,68124.0
68,63949.0,63949.0,63949.0
69,63170.0,63170.0,63170.0
70,63752.0,63752.0,63752.0
71,58579.0,58579.0,58579.0
72,57006.0,57006.0,57006.0
73,56686.0,56686.0,56686.0
74,53578.0,53578.0,53578.0
75,52272.0,52272.0,52272.0
76,51811.0,51811.0,51811.0
77,55759.0,55759.0,55759.0
78,60992.0,60992.0,60992.0
79,61475.0,61475.0,61475.0
80,58092.0,58092.0,58092.0
81,53452.0,53452.0,53452.0
82,51978.0,51978.0,51978.0
83,47366.0,47366.0,47366.0
84,45680.0,45680.0,45680.0
85,44990.0,44990.0,44990.0
86,42876.0,42876.0,42876.0
87,42436.0,42436.0,42436.0
88,43563.0,43563.0,43563.0
89,44129.0,44129.0,44129.0
90,43287.0,43287.0,43287.0
91,42846.0,42846.0,42846.0
92,42130.0,42130.0,42130.0
93,40095.0,40095.0,40095.0
