variable,mean,lower_bound,upper_bound
188,3108.0,3108.0,3108.0
189,3156.0,3156.0,3156.0
190,2877.0,2877.0,2877.0
191,2699.0,2699.0,2699.0
192,2850.0,2850.0,2850.0
193,2787.0,2787.0,2787.0
194,2559.0,2559.0,2559.0
195,2395.0,2395.0,2395.0
196,2298.0,2298.0,2298.0
197,2098.0,2098.0,2098.0
198,1876.0,1876.0,1876.0
199,1771.0,1771.0,1771.0
200,1672.0,1672.0,1672.0
201,1625.0,1625.0,1625.0
202,1739.0,1739.0,1739.0
203,1495.0,1495.0,1495.0
204,934.0,934.0,934.0
205,621.0,621.0,621.0
206,449.0,449.0,449.0
207,310.0,310.0,310.0
208,259.0,259.0,259.0
209,162.0,162.0,162.0
210,164.0,164.0,164.0
211,130.0,130.0,130.0
212,31.0,31.0,31.0
213,26.0,26.0,26.0
