variable,mean,lower_bound,upper_bound
2,3236427.0,3236427.0,3236427.0
3,1715050.0,1715050.0,1715050.0
4,1460609.0,1460609.0,1460609.0
5,270938.0,270938.0,270938.0
6,180366.0,180366.0,180366.0
7,137022.0,137022.0,137022.0
8,124243.0,124243.0,124243.0
9,116237.0,116237.0,116237.0
10,112256.0,112256.0,112256.0
11,109153.0,109153.0,109153.0
12,103134.0,103134.0,103134.0
13,96024.0,96024.0,96024.0
14,93203.0,93203.0,93203.0
15,91600.0,91600.0,91600.0
16,92439.0,92439.0,92439.0
17,87242.0,87242.0,87242.0
18,83487.0,83487.0,83487.0
19,81458.0,81458.0,81458.0
20,76639.0,76639.0,76639.0
21,65221.0,65221.0,65221.0
22,64304.0,64304.0,64304.0
23,65700.0,65700.0,65700.0
24,61676.0,61676.0,61676.0
25,56129.0,56129.0,56129.0
26,60125.0,60125.0,60125.0
27,56492.0,56492.0,56492.0
28,56244.0,56244.0,56244.0
29,53931.0,53931.0,53931.0
30,60583.0,60583.0,60583.0
31,58813.0,58813.0,58813.0
32,56533.0,56533.0,56533.0
33,53334.0,53334.0,53334.0
34,54791.0,54791.0,54791.0
35,50171.0,50171.0,50171.0
36,47186.0,47186.0,47186.0
37,52520.0,52520.0,52520.0
38,48413.0,48413.0,48413.0
39,44246.0,44246.0,44246.0
40,40771.0,40771.0,40771.0
41,40044.0,40044.0,40044.0
42,35088.0,35088.0,35088.0
43,32598.0,32598.0,32598.0
44,32496.0,32496.0,32496.0
45,29515.0,29515.0,29515.0
46,28136.0,28136.0,28136.0
47,27697.0,27697.0,27697.0
48,26002.0,26002.0,26002.0
49,25800.0,25800.0,25800.0
50,26431.0,26431.0,26431.0
51,26240.0,26240.0,26240.0
52,27845.0,27845.0,27845.0
53,24900.0,24900.0,24900.0
54,26365.0,26365.0,26365.0
55,28283.0,28283.0,28283.0
56,22758.0,22758.0,22758.0
57,22362.0,22362.0,22362.0
58,23559.0,23559.0,23559.0
59,23925.0,23925.0,23925.0
60,20964.0,20964.0,20964.0
61,22175.0,22175.0,22175.0
62,22349.0,22349.0,22349.0
63,20922.0,20922.0,20922.0
64,19420.0,19420.0,19420.0
65,20685.0,20685.0,20685.0
66,18843.0,18843.0,18843.0
67,18257.0,18257.0,18257.0
68,17612.0,17612.0,17612.0
69,17316.0,17316.0,17316.0
70,16343.0,16343.0,16343.0
71,16831.0,16831.0,16831.0
72,15556.0,15556.0,15556.0
73,16588.0,16588.0,16588.0
74,16203.0,16203.0,16203.0
75,14885.0,14885.0,14885.0
76,11964.0,11964.0,11964.0
77,10372.0,10372.0,10372.0
78,11629.0,11629.0,11629.0
79,10099.0,10099.0,10099.0
80,8054.0,8054.0,8054.0
81,8366.0,8366.0,8366.0
82,8178.0,8178.0,8178.0
83,8564.0,8564.0,8564.0
84,6996.0,6996.0,6996.0
85,7848.0,7848.0,7848.0
86,7867.0,7867.0,7867.0
87,8285.0,8285.0,8285.0
88,7314.0,7314.0,7314.0
89,7343.0,7343.0,7343.0
90,7405.0,7405.0,7405.0
91,6728.0,6728.0,6728.0
92,5366.0,5366.0,5366.0
93,6077.0,6077.0,6077.0
94,4845.0,4845.0,4845.0
95,4818.0,4818.0,4818.0
96,4095.0,4095.0,4095.0
97,3969.0,3969.0,3969.0
98,3466.0,3466.0,3466.0
99,3024.0,3024.0,3024.0
100,2451.0,2451.0,2451.0
101,1968.0,1968.0,1968.0
102,1308.0,1308.0,1308.0
103,1475.0,1475.0,1475.0
104,1252.0,1252.0,1252.0
105,1150.0,1150.0,1150.0
106,642.0,642.0,642.0
107,1056.0,1056.0,1056.0
108,608.0,608.0,608.0
109,175.0,175.0,175.0
110,94.0,94.0,94.0
111,82.0,82.0,82.0
112,48.0,48.0,48.0
113,28.0,28.0,28.0
