,index,mean,lower_bound,upper_bound
0,2,24.4,19.45,31.549999999999997
1,3,16.733333333333334,10.0,25.099999999999994
2,4,11.933333333333334,8.45,15.549999999999997
3,5,8.9,5.45,12.549999999999997
4,6,7.8,5.45,12.549999999999997
5,7,7.466666666666667,4.0,12.0
6,8,6.2,2.45,10.0
7,9,5.466666666666667,3.0,9.0
8,10,4.933333333333334,1.4500000000000002,11.299999999999983
9,11,4.833333333333333,1.4500000000000002,10.549999999999997
10,12,4.633333333333334,1.0,9.0
11,13,3.533333333333333,0.0,7.549999999999997
12,14,4.266666666666667,1.0,8.0
13,15,4.166666666666667,1.0,8.099999999999994
14,16,3.2333333333333334,0.0,6.0
15,17,3.5,1.0,6.0
16,18,3.9,0.4500000000000002,7.0
17,19,2.8666666666666667,0.0,5.0
18,20,3.1666666666666665,1.0,6.549999999999997
19,21,2.8,1.0,5.0
20,22,3.4,0.4500000000000002,8.099999999999994
21,23,3.3,0.4500000000000002,8.0
22,24,3.1,0.4500000000000002,6.0
23,25,2.466666666666667,1.0,5.0
24,26,2.5,0.0,5.0
25,27,2.4,0.0,5.6499999999999915
26,28,2.5,0.4500000000000002,5.099999999999994
27,29,2.1,0.0,4.549999999999997
28,30,1.8333333333333333,0.0,4.549999999999997
29,31,1.9333333333333333,0.0,5.549999999999997
30,32,2.2333333333333334,0.0,5.0
31,33,1.2666666666666666,0.0,3.549999999999997
32,34,1.5333333333333334,0.0,4.0
33,35,1.5666666666666667,0.0,4.0
34,36,1.1,0.0,3.0999999999999943
35,37,1.9666666666666666,0.0,5.0
36,38,1.7333333333333334,0.0,6.0
37,39,1.6,0.0,7.0
38,40,1.2,0.0,3.0
39,41,1.4,0.0,6.0
40,42,1.7,0.0,6.549999999999997
41,43,1.6,0.0,5.549999999999997
42,44,1.4666666666666666,0.0,4.0
43,45,1.7333333333333334,0.0,4.0
44,46,1.9333333333333333,0.0,3.549999999999997
45,47,1.5333333333333334,0.0,4.549999999999997
46,48,1.4666666666666666,0.0,3.549999999999997
47,49,1.0666666666666667,0.0,3.0
48,50,1.3333333333333333,0.0,4.549999999999997
49,51,1.5333333333333334,0.0,4.549999999999997
50,52,1.7,0.0,5.099999999999994
51,53,1.7666666666666666,0.0,5.199999999999989
52,54,1.7666666666666666,0.0,4.549999999999997
53,55,1.2666666666666666,0.4500000000000002,3.0
54,56,1.4,0.0,3.0
55,57,2.1,0.0,6.199999999999989
56,58,1.6666666666666667,0.0,6.099999999999994
57,59,1.4,0.0,4.0
58,60,1.4666666666666666,0.0,3.549999999999997
59,61,1.5,0.0,3.549999999999997
60,62,1.2333333333333334,0.0,3.6499999999999915
61,63,1.4,0.0,4.099999999999994
62,64,1.1,0.0,4.0
63,65,0.9333333333333333,0.0,2.0
64,66,0.8666666666666667,0.0,2.0
65,67,0.6666666666666666,0.0,2.549999999999997
66,68,0.8666666666666667,0.0,3.0
67,69,1.0,0.0,2.0
68,70,1.3,0.0,3.0
69,71,0.9333333333333333,0.0,3.0
70,72,0.8,0.0,2.549999999999997
71,73,0.5666666666666667,0.0,2.0
72,74,0.8333333333333334,0.0,3.0999999999999943
73,75,0.8333333333333334,0.0,3.0
74,76,0.6666666666666666,0.0,2.0
75,77,0.7666666666666667,0.0,2.549999999999997
76,78,0.8666666666666667,0.0,3.0999999999999943
77,79,0.6,0.0,2.0999999999999943
78,80,0.3333333333333333,0.0,1.5499999999999972
79,81,0.36666666666666664,0.0,2.0
80,82,0.6,0.0,2.549999999999997
81,83,0.6333333333333333,0.0,3.0
82,84,0.43333333333333335,0.0,2.0
83,85,0.6666666666666666,0.0,3.0
84,86,0.6,0.0,2.0
85,87,0.5,0.0,2.0
86,88,0.5666666666666667,0.0,2.0
87,89,0.6666666666666666,0.0,2.0
88,90,0.4666666666666667,0.0,2.0
89,91,0.5666666666666667,0.0,3.0
90,92,0.43333333333333335,0.0,1.5499999999999972
91,93,0.6,0.0,1.0
92,94,0.3,0.0,1.0
93,95,0.23333333333333334,0.0,1.5499999999999972
94,96,0.16666666666666666,0.0,1.0
95,97,0.1,0.0,1.0
96,98,0.1,0.0,1.0
97,99,0.13333333333333333,0.0,1.0
