,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
25,27,5,2.0,3.0,4.0,2.0,1.0,1.0,6.0,7.0,3.0,3.0,3.0,7.0,6.0,3.0,1.0,4.0,9.0,3.0,1.0,6.0,5.0,6.0,5.0,4.0,6.0,2.0,2.0,1.0,6.0
26,28,4,4.0,5.0,4.0,4.0,2.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,8.0,5.0,3.0,5.0,1.0,2.0,8.0,4.0,6.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,0.0
27,29,2,1.0,3.0,4.0,3.0,2.0,5.0,7.0,7.0,4.0,3.0,7.0,5.0,2.0,5.0,3.0,6.0,3.0,1.0,5.0,8.0,5.0,8.0,4.0,3.0,1.0,3.0,1.0,3.0,0.0
28,30,1,1.0,3.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,6.0,3.0,4.0,11.0,5.0,2.0,3.0,7.0,3.0,1.0,11.0,4.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0
29,31,4,2.0,10.0,6.0,4.0,7.0,4.0,4.0,1.0,1.0,10.0,4.0,6.0,6.0,4.0,4.0,7.0,3.0,2.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0
30,32,5,2.0,3.0,5.0,3.0,3.0,2.0,1.0,6.0,2.0,3.0,6.0,6.0,3.0,4.0,2.0,2.0,5.0,3.0,6.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,0.0
31,33,4,5.0,4.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,6.0,5.0,6.0,2.0,3.0,4.0,4.0,2.0,4.0,8.0,2.0,5.0,2.0,3.0,2.0,0.0,0.0
32,34,2,2.0,3.0,7.0,2.0,1.0,6.0,3.0,1.0,5.0,1.0,6.0,6.0,6.0,2.0,5.0,6.0,6.0,7.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35,5,4.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,8.0,4.0,5.0,8.0,2.0,4.0,7.0,6.0,5.0,1.0,8.0,7.0,3.0,7.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0
34,36,7,1.0,2.0,7.0,1.0,1.0,7.0,3.0,3.0,9.0,2.0,3.0,4.0,1.0,1.0,9.0,3.0,2.0,3.0,4.0,8.0,3.0,8.0,7.0,3.0,1.0,1.0,3.0,3.0,0.0
35,37,7,1.0,2.0,5.0,1.0,2.0,5.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,7.0,3.0,7.0,5.0,7.0,1.0,1.0,2.0,7.0,0.0
