,index,mean,lower_bound,upper_bound
0,2,47.714285714285715,39.35,57.24999999999999
1,3,24.035714285714285,15.7,31.65
2,4,17.785714285714285,11.35,22.0
3,5,15.5,7.7,25.0
4,6,14.357142857142858,6.7,20.949999999999996
5,7,13.0,6.7,19.599999999999994
6,8,12.571428571428571,8.0,18.949999999999996
7,9,11.392857142857142,6.7,16.0
8,10,11.464285714285714,7.0,18.0
9,11,9.071428571428571,4.35,14.649999999999999
10,12,8.357142857142858,5.0,12.0
11,13,7.607142857142857,3.35,11.0
12,14,7.821428571428571,5.0,11.299999999999997
13,15,8.214285714285714,5.35,10.0
14,16,7.428571428571429,4.0,11.299999999999997
15,17,6.25,1.7000000000000002,9.649999999999999
16,18,6.142857142857143,1.7000000000000002,10.299999999999997
17,19,6.035714285714286,2.0,12.0
18,20,6.857142857142857,3.0,10.0
19,21,7.035714285714286,2.7,10.649999999999999
20,22,6.071428571428571,3.0,11.649999999999999
21,23,5.0,1.0,8.299999999999997
22,24,4.821428571428571,1.0,9.0
23,25,5.714285714285714,2.0,11.0
24,26,5.964285714285714,2.0500000000000003,9.649999999999999
25,27,5.857142857142857,3.0,9.649999999999999
26,28,5.642857142857143,1.35,9.299999999999997
27,29,5.714285714285714,2.0,9.299999999999997
28,30,5.428571428571429,2.0,11.299999999999997
29,31,6.107142857142857,2.0,11.649999999999999
30,32,5.321428571428571,2.0,9.0
31,33,4.785714285714286,2.35,7.649999999999999
32,34,4.642857142857143,1.0,10.599999999999994
33,35,4.5,0.3500000000000001,8.649999999999999
34,36,4.535714285714286,1.35,8.0
35,37,3.8214285714285716,0.3500000000000001,7.949999999999996
36,38,4.107142857142857,0.3500000000000001,9.299999999999997
37,39,4.75,1.35,10.649999999999999
38,40,4.357142857142857,1.0,7.949999999999996
39,41,3.607142857142857,2.0,5.649999999999999
40,42,3.5,1.0,6.0
41,43,4.5,1.35,9.649999999999999
42,44,4.142857142857143,0.3500000000000001,8.649999999999999
43,45,4.642857142857143,2.0,9.0
44,46,4.928571428571429,1.0,10.649999999999999
45,47,4.535714285714286,1.0,7.649999999999999
46,48,2.9285714285714284,0.3500000000000001,6.0
47,49,4.464285714285714,1.0,8.0
48,50,3.9285714285714284,1.35,7.0
49,51,3.75,0.3500000000000001,7.0
50,52,3.5714285714285716,1.0,6.0
51,53,4.571428571428571,1.0,9.0
52,54,4.25,1.0,9.649999999999999
53,55,4.0,1.0,7.299999999999997
54,56,4.464285714285714,1.0,9.299999999999997
55,57,4.357142857142857,1.0,8.649999999999999
56,58,4.214285714285714,0.0,8.0
57,59,4.464285714285714,1.0,10.0
58,60,3.7142857142857144,1.0,7.0
59,61,3.0,0.0,7.0
60,62,2.5,0.3500000000000001,5.0
61,63,3.25,1.0,6.0
62,64,2.9642857142857144,0.3500000000000001,6.0
63,65,3.0714285714285716,1.0,6.0
64,66,3.1785714285714284,0.0,7.299999999999997
65,67,3.4285714285714284,1.0,8.299999999999997
66,68,3.2142857142857144,1.0,9.949999999999996
67,69,4.035714285714286,0.0,13.149999999999984
68,70,3.3214285714285716,0.0,9.899999999999991
69,71,3.392857142857143,1.0,7.0
70,72,2.8214285714285716,0.0,7.949999999999996
71,73,1.8928571428571428,0.0,4.649999999999999
72,74,2.7142857142857144,0.0,4.0
73,75,2.642857142857143,0.3500000000000001,5.0
74,76,3.1785714285714284,0.3500000000000001,8.299999999999997
75,77,3.4285714285714284,1.0,6.0
76,78,3.0,0.3500000000000001,6.649999999999999
77,79,2.5,0.3500000000000001,6.0
78,80,2.5714285714285716,0.0,6.0
79,81,2.392857142857143,0.0,5.0
80,82,2.4642857142857144,0.0,5.0
81,83,2.5,0.0,6.0
82,84,1.9285714285714286,0.0,4.649999999999999
83,85,2.357142857142857,0.0,5.649999999999999
84,86,2.0714285714285716,0.0,4.649999999999999
85,87,2.642857142857143,0.0,7.8999999999999915
86,88,2.2142857142857144,0.0,6.0
87,89,1.5714285714285714,0.0,4.0
88,90,1.8571428571428572,0.0,4.0
89,91,1.0714285714285714,0.0,2.6499999999999986
90,92,1.5,0.0,3.6499999999999986
91,93,1.5357142857142858,0.0,5.0
92,94,1.3571428571428572,0.0,3.0
93,95,2.5357142857142856,0.0,6.649999999999999
94,96,2.607142857142857,0.3500000000000001,8.599999999999994
95,97,2.4642857142857144,0.0,6.649999999999999
96,98,1.5357142857142858,0.0,4.0
97,99,1.6428571428571428,0.0,4.949999999999996
98,100,1.6428571428571428,0.0,3.0
99,101,2.4285714285714284,0.0,5.0
100,102,2.107142857142857,0.0,4.649999999999999
101,103,1.6785714285714286,0.0,5.649999999999999
102,104,2.142857142857143,0.0,4.649999999999999
103,105,1.9642857142857142,0.0,4.0
104,106,1.5,0.0,3.0
105,107,1.3214285714285714,0.0,3.0
106,108,2.6785714285714284,0.0,5.649999999999999
107,109,2.142857142857143,0.0,5.0
108,110,2.3214285714285716,0.0,6.0
109,111,2.107142857142857,0.0,4.0
110,112,2.142857142857143,0.0,4.0
111,113,1.1428571428571428,0.0,2.0
112,114,1.7142857142857142,0.0,6.299999999999997
113,115,2.2857142857142856,0.0,6.0
114,116,1.9642857142857142,0.0,4.649999999999999
115,117,2.107142857142857,0.0,5.649999999999999
116,118,1.7857142857142858,0.0,4.0
117,119,2.357142857142857,0.0,7.0
118,120,2.25,0.0,5.649999999999999
119,121,1.6071428571428572,0.0,5.949999999999996
120,122,1.5,0.0,3.6499999999999986
121,123,1.7857142857142858,0.0,5.949999999999996
122,124,2.1785714285714284,0.0,5.0
123,125,1.75,0.0,5.0
124,126,1.9285714285714286,0.0,3.6499999999999986
125,127,1.75,0.0,4.0
126,128,2.0,0.0,4.0
127,129,1.7142857142857142,0.0,4.649999999999999
128,130,1.8928571428571428,0.0,5.649999999999999
129,131,1.4642857142857142,0.0,3.6499999999999986
130,132,1.25,0.0,4.0
131,133,1.2857142857142858,0.0,5.0
132,134,1.4285714285714286,0.0,4.0
