,index,mean,lower_bound,upper_bound
58,60,2.9,1.0,9.549999999999997
59,61,2.5,0.0,6.0
60,62,2.7666666666666666,0.4500000000000002,7.199999999999989
61,63,2.3,1.0,7.099999999999994
62,64,2.033333333333333,0.0,5.0
63,65,1.3,0.0,4.0
64,66,1.8,0.0,5.0
65,67,1.6,0.0,5.0
66,68,1.6333333333333333,0.0,4.099999999999994
67,69,1.0,0.0,4.099999999999994
68,70,0.9333333333333333,0.0,3.0
69,71,1.8333333333333333,0.0,5.0
70,72,2.1,0.0,5.549999999999997
71,73,2.433333333333333,0.0,6.0
72,74,2.8333333333333335,1.0,5.549999999999997
73,75,2.2333333333333334,0.0,4.549999999999997
74,76,2.0,0.0,5.0
75,77,1.6333333333333333,0.0,4.549999999999997
76,78,2.1,0.0,7.0
77,79,2.066666666666667,0.0,4.549999999999997
78,80,2.033333333333333,0.0,4.6499999999999915
79,81,1.3666666666666667,0.0,3.549999999999997
80,82,1.2666666666666666,0.0,3.0
81,83,1.7666666666666666,0.0,4.0
82,84,1.8666666666666667,0.0,5.549999999999997
83,85,1.8,0.0,5.0
84,86,1.6333333333333333,0.0,4.549999999999997
85,87,2.1666666666666665,0.0,6.099999999999994
86,88,2.3,0.0,5.549999999999997
87,89,2.3,0.0,7.199999999999989
88,90,2.5,0.0,7.549999999999997
89,91,2.433333333333333,0.0,7.0
90,92,2.6333333333333333,0.0,6.0
91,93,2.2,0.0,5.0
92,94,1.7,0.0,5.6499999999999915
93,95,2.066666666666667,0.0,6.0
94,96,2.566666666666667,0.0,7.0
95,97,1.8,0.0,3.549999999999997
96,98,1.8666666666666667,0.0,6.0
97,99,1.8333333333333333,0.0,5.6499999999999915
98,100,2.066666666666667,0.0,5.549999999999997
99,101,2.3,0.0,7.549999999999997
100,102,2.3333333333333335,0.0,7.099999999999994
101,103,2.0,0.0,5.0
102,104,1.6,0.0,4.0
103,105,1.4,0.0,4.099999999999994
104,106,1.2,0.0,3.0
105,107,0.8,0.0,3.0
106,108,1.2666666666666666,0.0,4.0
107,109,1.2,0.0,3.549999999999997
108,110,1.3333333333333333,0.0,4.0
109,111,1.1,0.0,4.099999999999994
110,112,1.4666666666666666,0.0,3.0
111,113,1.6,0.0,4.549999999999997
112,114,1.7333333333333334,0.0,4.0
113,115,1.6,0.0,3.549999999999997
114,116,1.3,0.0,4.0
115,117,0.9666666666666667,0.0,3.549999999999997
116,118,0.9333333333333333,0.0,3.0
117,119,1.0,0.0,3.0
118,120,1.1,0.0,3.0
119,121,1.7333333333333334,0.0,4.0
120,122,1.5,0.0,4.549999999999997
121,123,1.3,0.0,4.0
122,124,1.1,0.0,4.0
123,125,0.9,0.0,2.549999999999997
124,126,0.9666666666666667,0.0,2.0
125,127,1.0333333333333334,0.0,3.549999999999997
126,128,0.9666666666666667,0.0,3.0
127,129,1.0333333333333334,0.0,4.099999999999994
128,130,0.9666666666666667,0.0,4.0
129,131,0.9,0.0,2.0
130,132,0.9,0.0,2.549999999999997
131,133,0.9333333333333333,0.0,3.0
132,134,1.5,0.0,4.549999999999997
133,135,1.6333333333333333,0.0,5.199999999999989
134,136,1.2,0.0,3.549999999999997
135,137,1.1666666666666667,0.0,4.0
136,138,0.9666666666666667,0.0,2.549999999999997
137,139,0.9333333333333333,0.0,3.0999999999999943
138,140,1.3666666666666667,0.0,3.549999999999997
139,141,0.6333333333333333,0.0,2.0
140,142,0.7,0.0,2.0
141,143,0.8666666666666667,0.0,3.6499999999999915
142,144,0.6,0.0,2.0
143,145,1.0333333333333334,0.0,3.0
144,146,1.3333333333333333,0.0,3.0
145,147,1.0333333333333334,0.0,3.0
146,148,0.5666666666666667,0.0,2.0
147,149,0.5666666666666667,0.0,2.549999999999997
148,150,0.4,0.0,2.0
149,151,0.6,0.0,2.549999999999997
150,152,0.9666666666666667,0.0,2.549999999999997
151,153,0.6333333333333333,0.0,2.549999999999997
152,154,0.8666666666666667,0.0,2.549999999999997
153,155,1.0333333333333334,0.0,3.0
154,156,0.6333333333333333,0.0,2.0
155,157,0.7666666666666667,0.0,2.549999999999997
156,158,1.2666666666666666,0.0,4.549999999999997
157,159,1.0333333333333334,0.0,3.0
158,160,0.4,0.0,1.0
159,161,0.26666666666666666,0.0,1.0
160,162,0.23333333333333334,0.0,1.0
161,163,0.5333333333333333,0.0,2.0
162,164,0.6,0.0,2.0999999999999943
163,165,0.43333333333333335,0.0,2.0
164,166,0.4,0.0,1.5499999999999972
165,167,0.3333333333333333,0.0,1.5499999999999972
166,168,0.36666666666666664,0.0,1.0
167,169,0.26666666666666666,0.0,1.0
168,170,0.16666666666666666,0.0,1.0
169,171,0.4666666666666667,0.0,2.0999999999999943
170,172,0.4666666666666667,0.0,2.6499999999999915
171,173,0.6,0.0,3.0999999999999943
172,174,0.3,0.0,1.0
173,175,0.3333333333333333,0.0,2.0999999999999943
174,176,0.26666666666666666,0.0,1.0
175,177,0.2,0.0,1.0
176,178,0.5666666666666667,0.0,2.0
177,179,0.4,0.0,2.0
178,180,0.2,0.0,1.0
179,181,0.1,0.0,1.0
180,182,0.16666666666666666,0.0,1.0
181,183,0.2,0.0,1.5499999999999972
182,184,0.2,0.0,1.0
183,185,0.13333333333333333,0.0,1.0
184,186,0.1,0.0,1.0
185,187,0.1,0.0,1.0
186,188,0.13333333333333333,0.0,1.0
187,190,0.13333333333333333,0.0,0.5499999999999972
188,191,0.1,0.0,0.0
189,192,0.36666666666666664,0.0,2.0
190,193,0.23333333333333334,0.0,1.0
191,194,0.06666666666666667,0.0,0.5499999999999972
192,195,0.06666666666666667,0.0,0.5499999999999972
193,196,0.03333333333333333,0.0,0.0
194,197,0.06666666666666667,0.0,0.0
195,198,0.1,0.0,1.0
196,199,0.13333333333333333,0.0,0.5499999999999972
197,200,0.03333333333333333,0.0,0.0
198,201,0.1,0.0,1.0
199,202,0.06666666666666667,0.0,0.5499999999999972
200,203,0.03333333333333333,0.0,0.0
201,204,0.03333333333333333,0.0,0.0
202,205,0.03333333333333333,0.0,0.0
203,207,0.03333333333333333,0.0,0.0
