Bins,Number
100,121545
200,120545
300,98608
400,68392
500,37864
600,22448
700,13515
800,10157
900,7126
1000,4092
1100,2876
1200,2189
1300,2059
1400,1666
1500,826
1600,636
1700,579
1800,493
$\geq1900$,3189
