<100,12337
100-200,21460
200-300,21848
300-400,22431
400-500,14373
500-600,11735
600-700,8740
700-800,7118
800-900,6755
900-1000,5015
1000-1100,3814
1100-1200,3075
1200-1300,2618
1300-1400,2286
1400-1500,2218
1500-1600,1890
1600-1700,1288
1700-1800,1248
1800-1900,1080
>1900,12845
