Bins,Number
100,43456025
200,42288322
300,34387826
400,23031654
500,12649864
600,7263953
700,5010918
800,3387683
900,2154888
1000,2754956
1100,1134421
1200,804734
1300,523469
1400,404002
1500,302769
1600,229449
1700,179073
1800,157667
$\geq1900$,1107246
